,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_22_213,0.422505666916538,0.155767793561563,0.326417771259725,0.02994077709087
BM_22_222,0.321657542669853,0.119610725954291,0.482682606468909,0.020466741262488
BM_22_229,0.449427098811119,0.206348420037566,0.254134169159643,0.029865897181796
BM_22_230,0.413743316263163,0.215458865592519,0.236506418794201,0.053696154416285
BM_22_231,0.409000767807592,0.185431584416032,0.304315321294902,0.019379708852939
BM_22_234,0.237312832245898,0.167064117992939,0.514561568312541,0.025965767731804
BM_22_238,0.171409849157387,0.226412816428821,0.477023196559303,0.028588320926674
BM_22_100,0.321054711602393,0.115636998364152,0.465581175015678,0.025397399470569
BM_22_101,0.376902210663289,0.198606893617711,0.274858639121613,0.036685101621779
BM_22_102,0.410234063056643,0.186371449080409,0.288697644989548,0.038474269028587
BM_22_105,0.066178636394779,0.231551826230102,0.451157737732113,0.051446145997811
BM_22_106,0.133668920351264,0.275587408517992,0.449628992596098,0.05502287163771
BM_22_108,0.080467508157764,0.35441427244125,0.345554872803826,0.043449106251602
BM_22_110,0.104885616683755,0.207190843152663,0.471405270001514,0.07059954955198
BM_22_111,0.490840434184611,0.174829438019467,0.250100970035008,0.027950910630096
BM_22_1111,0.348622099371509,0.276245267444551,0.18574714183733,0.043364907050173
BM_22_112,0.448241617453648,0.180594637538487,0.264613765292642,0.026158046670793
BM_22_113,0.263816306877282,0.30919059580255,0.254861385836961,0.03368296268403
BM_22_114,0.488406124398658,0.242068469860072,0.174420398101215,0.032888351406453
BM_22_115,0.315649596803719,0.190667695747769,0.394651216714975,0.036508457640967
BM_22_116,0.386137579794183,0.216802018943804,0.27281172773796,0.028783014407391
BM_22_117,0.397651976422068,0.216250931778484,0.275304667526494,0.05331262773704
BM_22_119,0.068659021134415,0.156641547834486,0.595772692745378,0.044221908149469
BM_22_120,0.350145378563375,0.219559816617966,0.3097140940088,0.039226680208465
BM_22_123,0.3777457154843,0.176530134273779,0.346044560746962,0.034877976769268
BM_22_124,0.313341354260485,0.109346955155001,0.456526471118004,0.039028355678463
BM_22_126,0.145581122337853,0.214996236772116,0.38907454880339,0.098082789576069
BM_22_130,0.078752180004616,0.197642313550086,0.541141557426945,0.036272677606054
BM_22_132,0.073177239858907,0.216187969105347,0.603986798151721,0.028543890272609
BM_22_133,0.223979303881942,0.178439558094083,0.456271543464833,0.053865122530087
BM_22_134,0.316276911545553,0.170092181539327,0.317135347042956,0.055466303583711
BM_22_135,0.234112087114328,0.195905915788796,0.461681431650813,0.027841190246832
BM_22_136,0.439997342961282,0.212364937744621,0.215148635063843,0.042456316137894
BM_22_137,0.478474703349618,0.155411599311938,0.273795223895787,0.021379030280358
BM_22_138,0.431063014004934,0.210551983760909,0.241241000098993,0.02924046734588
BM_22_139,0.33497708901937,0.31925696833925,0.232026943340339,0.029289002361216
BM_22_14,0.516903047939044,0.171908331053455,0.218785159946118,0.026551290346419
BM_22_143,0.575329856811742,0.177156036294809,0.167514726837597,0.022863759819278
BM_22_144,0.26382186334662,0.201869375292261,0.418990323292837,0.037072293185927
BM_22_146,0.346859265059375,0.228790912502274,0.303679466178062,0.049778107249092
BM_22_147,0.076036560250162,0.485934920667313,0.17635223358553,0.07550420270434
BM_22_148,0.328374185570444,0.274378935180543,0.237043794697269,0.048385081628073
BM_22_15,0.318769249214716,0.175754891712492,0.382952711356448,0.042262573802878
BM_22_151,0.409225021218575,0.193180470471258,0.278120592635271,0.02970986867197
BM_22_152,0.20071142850519,0.138401907377215,0.554008310365442,0.041505051190973
BM_22_154,0.424117583903422,0.214162403098613,0.267153712994096,0.032292522482
BM_22_156,0.27889097208614,0.213587192685872,0.387343930952516,0.03456920110703
BM_22_157,0.280686295061213,0.256415186618961,0.319297940057752,0.069188995315851
BM_22_158,0.090860607201211,0.248250602598197,0.552551923698882,0.029639600374696
BM_22_159,0.361546621448129,0.17411986859241,0.343396053799507,0.029733907667965
BM_22_160,0.31481533162187,0.215122935371811,0.347378171914286,0.048130917840117
BM_22_161,0.466734071477792,0.194651248314238,0.187953857783061,0.059310609422195
BM_22_162,0.358472768651164,0.194218396136658,0.319135576681892,0.070616314263612
BM_22_163,0.266220826551117,0.1423699066097,0.475935457560216,0.028639546512417
BM_22_165,0.333740085966938,0.273148695319481,0.246364890114746,0.047732046464084
BM_22_166,0.411087026033298,0.182857093965937,0.308614951789988,0.026182311526169
BM_22_167,0.112561742216815,0.272118516236296,0.448560830864968,0.044773515280373
BM_22_170,0.459162866912968,0.204951306823125,0.227299116450161,0.033789226708547
BM_22_171,0.29079825878814,0.2529710373257,0.315062890364739,0.041366129990729
BM_22_172,0.126283997146816,0.306243558864615,0.296115619296093,0.081927311877653
BM_22_173,0.394687671033365,0.138571312409249,0.38230005633472,0.019651558969756
BM_22_174,0.376767678404569,0.150970579423927,0.389292767736969,0.020756815830571
BM_22_175,0.289645358905203,0.226378730464757,0.364823436746824,0.030745895828369
BM_22_177,0.397326332077408,0.172913508404656,0.332968354390225,0.031801030815959
BM_22_178,0.502818432288944,0.203670937159346,0.163209045030321,0.029047028778582
BM_22_18,0.349602074033542,0.189982737123279,0.344896366485984,0.032001274623211
BM_22_181,0.100313124151639,0.30390894043697,0.385346805148003,0.062691213436394
BM_22_183,0.368125952878561,0.226570277652375,0.266018431059558,0.048332248119396
BM_22_186,0.371639322143353,0.224392139166217,0.251308907426485,0.032413314242883
BM_22_187,0.441195853840447,0.223073917731496,0.190761983305022,0.047113585699797
BM_22_189,0.378883019463927,0.206810580676402,0.271845873598249,0.040187393875328
BM_22_195,0.346992666877927,0.205384775950081,0.331008392190526,0.038643876394036
BM_22_196,0.410799297067346,0.133714978800949,0.273012346759251,0.094265511982638
BM_22_198,0.422766425824812,0.181165370025809,0.309137216369183,0.024876068755147
BM_22_199,0.37330008816045,0.213545621442184,0.289166529935146,0.035562040248663
BM_22_2,0.370238900728297,0.21610362830749,0.270143325905826,0.05830499232149
BM_22_203,0.331144403762633,0.136976096531307,0.453952592334153,0.018883245117038
BM_22_22,0.406404475059693,0.135358146105272,0.375598896778763,0.025087034266461
BM_22_243,0.352331244506105,0.208725164466995,0.308319802857395,0.049084392799928
BM_22_25,0.33615434063871,0.190331437505524,0.376766766548441,0.031736561732079
