,Neurons,Astrocytes,Oligodendrocytes,Microglia
hB_RNA_4312,0.150548179831069,0.18795080929501,0.546250622876333,0.02654306125088
hB_RNA_4321,0.299002317502905,0.201199589537354,0.327211486864299,0.028467833744804
hB_RNA_4331,0.49793460092759,0.17470187746557,0.210440743905066,0.021746920356942
hB_RNA_4351,0.352202233265827,0.221828201125012,0.282344196257439,0.040005295303698
hB_RNA_4361,0.39027350358223,0.18779731558306,0.288001023373368,0.027445035389661
hB_RNA_4389,0.205751535075133,0.219357181925633,0.377615849877568,0.05743538570421
hB_RNA_4403,0.206369360355065,0.139903895402907,0.511383022274875,0.042022450360233
hB_RNA_4437,0.441287478503116,0.176125884302392,0.273600051723639,0.028157186400671
hB_RNA_4442,0.25668476449525,0.297646041159363,0.282927771857018,0.061432547566282
hB_RNA_4456,0.181949697778706,0.288316468831941,0.341614311775614,0.04756465747501
hB_RNA_4461,0.205202161803775,0.254999824459632,0.332478032101557,0.039840728769148
hB_RNA_4474,0.162584006283013,0.164840069830021,0.56606009955729,0.041245318411688
hB_RNA_4489,0.242707195717333,0.165230743310014,0.38330514881549,0.055774220715956
hB_RNA_4498,0.209707875633993,0.244918476130263,0.361160711508536,0.038383717545759
hB_RNA_4520,0.246065351092898,0.157820945130557,0.493961377173305,0.024000402994847
hB_RNA_4521,0.237200340149455,0.321018358767709,0.271212818427628,0.057040920904155
hB_RNA_4551,0.516470200233537,0.220333246648344,0.130826839721459,0.036274545600378
hB_RNA_4565,0.081656828493852,0.243320117762673,0.50637141488273,0.042006999808494
hB_RNA_4573,0.165171571753281,0.135800386751021,0.581310084857955,0.034196735492329
hB_RNA_4581,0.146026959306418,0.25924153483768,0.404517136107168,0.053388879091668
hB_RNA_4601,0.23843180045628,0.277453741182777,0.289828818066318,0.029425767271592
hB_RNA_4611,0.308160402549192,0.239565791958755,0.285821494880595,0.038219062990931
hB_RNA_4623,0.125328144232355,0.300057769765911,0.354066226567476,0.051950679927244
hB_RNA_4649,0.291861016253327,0.20732329042611,0.335936644139093,0.030714466008591
hB_RNA_4651,0.405323225247446,0.280052599728655,0.156032518700911,0.03760733745899
hB_RNA_4663,0.2298455841308,0.282718301156798,0.288627752238483,0.026754324436884
hB_RNA_4674,0.194662782141502,0.211717731450322,0.446058312105443,0.034224398822707
hB_RNA_4688,0.362269332466767,0.253521707130464,0.221892286372105,0.04504042019931
hB_RNA_4701,0.267446415275512,0.317724327385324,0.196934882409482,0.04336095324762
hB_RNA_4728,0.127796967035463,0.297499239450411,0.374083943409535,0.052049977113755
hB_RNA_4731,0.161972794054991,0.253583469501333,0.424591642778998,0.048802110343475
hB_RNA_4746,0.319342308839539,0.232840007918335,0.303740198525526,0.037860219769765
hB_RNA_4811,0.253694795949231,0.176625862915128,0.425089430639178,0.050293102830529
hB_RNA_4827,0.235316275965921,0.278324765667999,0.35390738648668,0.021960758399901
hB_RNA_4831,0.393095488532112,0.183116699155143,0.273845120254912,0.051229636694082
hB_RNA_4841,0.384641043002978,0.20506775478029,0.252154893949155,0.048150270216013
hB_RNA_4851,0.305061080562302,0.205696399085916,0.333338265021239,0.062237037377141
hB_RNA_4871,0.390790584224838,0.218769454919207,0.256261952432906,0.026437644245129
hB_RNA_4905,0.462879856039531,0.261626738845586,0.101346818529543,0.038410291331309
hB_RNA_4919,0.1516025578806,0.339621144482768,0.170916667309591,0.123056451879736
hB_RNA_4932,0.393423337298515,0.174964156084802,0.299099621716729,0.039281585793069
hB_RNA_5051,0.373843851123901,0.225673710961145,0.256946453408064,0.033391056798762
hB_RNA_5111,0.389435510631829,0.15785426122914,0.235595653689792,0.052730559993313
hB_RNA_5141,0.252483049769561,0.287211601584247,0.322673491964131,0.055183771852645
hB_RNA_5151,0.45358190481299,0.294826181020004,0.103666603869972,0.02610751500764
hB_RNA_8305,0.359138097636499,0.161992486569955,0.369695604438952,0.028798358599062
hB_RNA_8325,0.181587410681586,0.187148224815885,0.494958185904056,0.043350541141173
hB_RNA_8355,0.165509249341926,0.3603149448469,0.232722291961127,0.063104747720123
hB_RNA_8375,0.343179601166486,0.272316634973749,0.288731856430788,0.010158137943754
hB_RNA_8385,0.212810672479275,0.305224346828933,0.337985552633754,0.025261514509249
hB_RNA_8415,0.261185400134328,0.263505800412723,0.286194204763832,0.033803368146884
hB_RNA_8455,0.1678434760306,0.213215760856524,0.459936741786726,0.034217133660447
hB_RNA_8495,0.312526658764472,0.234924222375347,0.300754304360128,0.030937694728347
hB_RNA_8505,0.407277600418667,0.267849197443637,0.165107295459301,0.040452678412882
hB_RNA_8535,0.253037500696119,0.39381931591669,0.170286912947959,0.038341556576853
hB_RNA_8545,0.427571622535151,0.207115262179042,0.252688746692154,0.028804932474806
hB_RNA_8565,0.321346791734895,0.176356964786087,0.396558377942497,0.036896232350247
hB_RNA_8595,0.515633978679731,0.223086184622119,0.126927594002241,0.036111554348017
hB_RNA_8605,0.404951049053946,0.145281612846641,0.351931880391088,0.022241089934072
hB_RNA_8625,0.45175106464299,0.194161935642263,0.238973129191986,0.031515361325871
hB_RNA_8635,0.122956073252354,0.354724757233682,0.367657398199268,0.049580869843239
hB_RNA_8655,0.19430435423,0.287136228363793,0.332985103158378,0.071499286332983
hB_RNA_8665,0.32392670285197,0.180639341364924,0.405983380234459,0.014992012099202
hB_RNA_8715,0.326535000238666,0.246478690766377,0.283500369228792,0.049751030384255
hB_RNA_8725,0.267029707106576,0.286381481973926,0.305004456529011,0.048740709590445
hB_RNA_8735,0.148175130193866,0.278378162207729,0.409311655110969,0.046341810281237
hB_RNA_8745,0.21303189228787,0.19596952170538,0.485507531926486,0.022855886979024
hB_RNA_8765,0.452692486620887,0.188609633911469,0.237898116401314,0.029269942326189
hB_RNA_8775,0.39644000157835,0.20342303525264,0.267815282664531,0.032723713511907
hB_RNA_8785,0.373353301301952,0.200219717913633,0.278852968952872,0.028560281116341
hB_RNA_8805,0.254621180575,0.273647326413014,0.310008859539548,0.049180600597999
hB_RNA_9227,0.260407878754004,0.232873871608149,0.356201982754517,0.046936768297039
hB_RNA_9228,0.259010036432284,0.287907298908198,0.273014173309624,0.054050621967921
hB_RNA_9229,0.206678307568096,0.3427824244242,0.211474235463198,0.060009584399183
hB_RNA_9230,0.440439622494201,0.174089612060506,0.25079744864598,0.042254164919837
hB_RNA_9231,0.328269087407829,0.194505198964805,0.353702996837477,0.028812188205091
hB_RNA_8465,0.197268696430422,0.266995087326851,0.383145522069189,0.048099591236012
hB_RNA_16525,0.449968867890369,0.141533694247559,0.259200770780441,0.056131805276484
hB_RNA_16535,0.401046927560652,0.231527485553407,0.222869960943046,0.027482648002651
hB_RNA_16545,0.132515711272892,0.273027458452226,0.380667637781561,0.064271993544997
hB_RNA_16555,0.296886090919624,0.21186242324636,0.330107286148056,0.059950889685677
hB_RNA_16565,0.375820859185142,0.218149080787617,0.271540385167553,0.02833591993571
hB_RNA_16575,0.395481952021554,0.229198724758911,0.210808681178969,0.029981171593013
hB_RNA_16645,0.457609344126155,0.185258506412089,0.217659479175838,0.029683230449987
hB_RNA_16655,0.260583020825274,0.24101380791804,0.346662699710142,0.034803072302846
hB_RNA_16665,0.323029533154493,0.237516527944598,0.282826904607529,0.03299190138258
hB_RNA_16675,0.327264655584465,0.149677471194497,0.401574250588241,0.032433045449405
hB_RNA_16685,0.233842229709455,0.188171759747153,0.43766617210207,0.058567727030228
hB_RNA_16695,0.21331724818593,0.284410441958917,0.35209629327092,0.021839345042509
hB_RNA_16705,0.412235551814812,0.145735124890017,0.337804243364426,0.020861943086459
hB_RNA_16715,0.646448221455514,0.097011598251196,0.136474991003379,0.017891264903902
hB_RNA_16725,0.420911729069141,0.153311072217213,0.329980463300912,0.013844205822093
hB_RNA_16735,0.426587323555173,0.175339336463727,0.278798925182548,0.031356423944151
hB_RNA_16745,0.238433420229603,0.204016807150743,0.416004438685587,0.033888624661385
hB_RNA_16755,0.276888828371499,0.209276333435524,0.378531197067024,0.043385430490922
hB_RNA_16765,0.130543201986731,0.253896612923883,0.458413618446892,0.051760136971943
hB_RNA_16775,0.362732988302321,0.20510574809691,0.308050104808992,0.038723696962401
hB_RNA_16785,0.379118747375859,0.203566604744887,0.259901492936526,0.046283756798711
hB_RNA_16795,0.246734697671566,0.279980739269618,0.277121403630713,0.034844347905049
hB_RNA_16805,0.227809429143565,0.213961433296344,0.366062174322246,0.050387429721612
hB_RNA_16815,0.299301694064765,0.251224019795443,0.31252830820895,0.04063460753582
hB_RNA_16825,0.343167501554943,0.209403882528445,0.278596406160729,0.057810330354212
hB_RNA_16835,0.167769804166403,0.296271304491945,0.312628514631996,0.064245578703527
hB_RNA_16845,0.395434180913161,0.217221176416051,0.210359448640247,0.040100373650769
hB_RNA_16855,0.485976987122004,0.178408768143323,0.227494744338154,0.026290925796178
hB_RNA_16865,0.420409426380722,0.196567905668814,0.22684045354458,0.040952783019273
hB_RNA_16875,0.553665710760963,0.237528296538333,0.101421578508403,0.028825246154674
hB_RNA_16885,0.253663453217389,0.224403910432643,0.352777129199789,0.047689450830775
hB_RNA_16895,0.350167080268168,0.19485483192579,0.323607613459712,0.034685835313077
